"role","file","source","source_repository","source_commit","source_path","source_sha256","sha256","source_access","provenance_status","note"
"age_length","bet.age_length","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-age-length-build/blob/96a06d21ef3c666f39ce456d3a6818b6c17324c4/BET/bet.2026.sub.basin.0.75.age_length","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-age-length-build","96a06d21ef3c666f39ce456d3a6818b6c17324c4","BET/bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","public","locked","exact source variant retained"
"cpue_mle_sigma","cpue_mle_sigma_audit.csv","config/job13328-cpue-sigma.csv","","991d679","config/job13328-cpue-sigma.csv","0d615db579682c5688e439d0b34a702634584f13bb38c78d238e366755049233","cd2d9a9b61f6efda432318be34c856029b355f0ea35f33681dc1dc37820cbc86","unverified","unlocked","Job13328 submitted S011 CPUE observation-error scales; PacificCommunity/ofp-sam-bet-2026-exploration@c940601bb95797a5cc5b4a2dbc01cfd6daa86a70/sensitivity/S011-DM-G8PSSET-CEST-NOCUT-SUB075-MIX015-TAGF2ON-NMAX25-REGW100-RRPTTP26/model/doitall.sh; SHA256 a47ef47502d94229bc68ea963256e6243e2579fce4320a21a2eb55fc738ed471"
"doitall","doitall.sh","steps/05-NewStructure/model/doitall.sh","","991d679","steps/05-NewStructure/model/doitall.sh","ae0a526d21053da82ed1ecb9865a55d7ac85e64bfc1c393aa7e89106ff90b6d9","3dfde32ff32a1bd13d153c30040b0599c67666940aa0b3c645eb44c5205c9e25","unverified","unlocked","generated from the five-region template with only declared cumulative controls"
"domestic_size_qc","dom-lf-qc-summary.csv","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.frq","","f89e066","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.frq","5e2520afef613c563b27ee794c402e192dfdb114edc52c130323fa80ae876152","11abdff86bd4f6e75f7a067a8dab1cd87dfee10e70d59ae6c413c5a9563cb2de","unverified","unlocked","F21-F23 intervals with midpoint above 90 cm removed; output SHA 9b8f4630b5b8bec8b8292e8207cc789b00542d29338faf6187f3c9af55504aa3"
"f15_size_qc","f15-lf-qc-summary.csv","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.frq","","f89e066","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.frq","5e2520afef613c563b27ee794c402e192dfdb114edc52c130323fa80ae876152","1612fed65e6ab65b6d79eaa84809c48cd73ecf0dea86026e2cba02d346b92bbb","unverified","unlocked","F15 bins below 70 cm set to zero; source SHA d77f97c348409f845f1f0fc801af808d15b6cb119349d1f083308cfc9d4fba8c"
"frq","bet.frq","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.frq","","f89e066","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.frq","5e2520afef613c563b27ee794c402e192dfdb114edc52c130323fa80ae876152","9b8f4630b5b8bec8b8292e8207cc789b00542d29338faf6187f3c9af55504aa3","unverified","unlocked","generated from the authoritative FRQ by changing only positive effort for F29-F33; F15 <70 cm bins zeroed and F21-F23 >90 cm midpoint bins removed without renormalisation"
"ini","bet.ini","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-build-ini/blob/efe3107c72774ee73b5e6dc45e44cf51f0fc20e8/BET/bet.2026.ini","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-build-ini","efe3107c72774ee73b5e6dc45e44cf51f0fc20e8","BET/bet.2026.ini","4a31dabf154cec6b1a8511ff2a9a4db857d68099e07e842ae3c45b026f472602","5292938d4743c1dfdd2f1a095c1aa87482c9c17f78b8d879671fe6851d58646f","public","locked","Fixed Lorenzen natural-mortality intercept applied from the 01-Diag2023 mgc=-5 diagnostic final par; normalized MFCL 1007 tag-control rows for 98 release groups; RRPTTP26 rebuilt the complete RTTP/PTTP/JPTP group, active, initial, target, and penalty matrices from the audited 33-fishery table; copied only tag_flags(:,1) from bet.2026.mix-0.2.ini; set only tag_flags(:,2) to 1"
"ini_reporting_rates","bet.ini","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-build-ini/blob/efe3107c72774ee73b5e6dc45e44cf51f0fc20e8/BET/bet.2026.ini","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-build-ini","efe3107c72774ee73b5e6dc45e44cf51f0fc20e8","BET/bet.2026.ini","4a31dabf154cec6b1a8511ff2a9a4db857d68099e07e842ae3c45b026f472602","5292938d4743c1dfdd2f1a095c1aa87482c9c17f78b8d879671fe6851d58646f","public","locked","rrpttp26 reporting-rate matrices only"
"ini_tag_mixing","bet.ini","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-build-ini/blob/efe3107c72774ee73b5e6dc45e44cf51f0fc20e8/BET/ini.mix-period/bet.2026.mix-0.2.ini","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-build-ini","efe3107c72774ee73b5e6dc45e44cf51f0fc20e8","BET/ini.mix-period/bet.2026.mix-0.2.ini","1e8c589854274248efcb8b08cc85b476e718d2f5d985e03873e973181ae11e94","5292938d4743c1dfdd2f1a095c1aa87482c9c17f78b8d879671fe6851d58646f","public","locked","only tag_flags(:,1) copied; tag_flags(:,2) and all other INI fields retained"
"reg_scaling","bet.reg_scaling","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/blob/26c74dc6f303faa951b1ab331d7de14ea20b7489/steps/15-DataWeighting/model/bet.reg_scaling.full","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","26c74dc6f303faa951b1ab331d7de14ea20b7489","steps/15-DataWeighting/model/bet.reg_scaling.full","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","5f047ddb4053d1f6df9ace18e85e440b11553de246d024ce8138b427f5f9f7e3","public","locked","active periods 53-72"
"reg_scaling_full","bet.reg_scaling.full","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/blob/26c74dc6f303faa951b1ab331d7de14ea20b7489/steps/15-DataWeighting/model/bet.reg_scaling.full","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","26c74dc6f303faa951b1ab331d7de14ea20b7489","steps/15-DataWeighting/model/bet.reg_scaling.full","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","public","locked","complete source matrix retained as a calculation/audit artifact"
"rrpttp26_reporting_audit","bet.ini","config/rrpttp26-reporting-rates.csv","","991d679","config/rrpttp26-reporting-rates.csv","6d926d0bef79f54a8fc0a573480959b7f91e9f90be1e912068662edfac388db2","5292938d4743c1dfdd2f1a095c1aa87482c9c17f78b8d879671fe6851d58646f","unverified","unlocked","complete audited 33-fishery RRPTTP26 matrix specification"
"tag","bet.tag","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-tag-prep/blob/44f804341a8e1d9b46e8e6c147dee884c476c28d/BET/bet.2026.low.recaps.removed.tag","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-tag-prep","44f804341a8e1d9b46e8e6c147dee884c476c28d","BET/bet.2026.low.recaps.removed.tag","b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f","b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f","public","locked","exact selected tag input; never replaced by an earlier step"
