"role","file","source","source_repository","source_commit","source_path","source_sha256","sha256","source_access","provenance_status","note"
"age_length","bet.age_length","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-age-length-build/blob/96a06d21ef3c666f39ce456d3a6818b6c17324c4/BET/bet.2026.sub.basin.0.75.age_length","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-age-length-build","96a06d21ef3c666f39ce456d3a6818b6c17324c4","BET/bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","public","locked","exact source variant retained"
"cpue_mle_sigma","cpue_mle_sigma_audit.csv","config/job13328-cpue-sigma.csv","","2c9595d","config/job13328-cpue-sigma.csv","0d615db579682c5688e439d0b34a702634584f13bb38c78d238e366755049233","cd2d9a9b61f6efda432318be34c856029b355f0ea35f33681dc1dc37820cbc86","unverified","unlocked","Job13328 submitted S011 CPUE observation-error scales; PacificCommunity/ofp-sam-bet-2026-exploration@c940601bb95797a5cc5b4a2dbc01cfd6daa86a70/sensitivity/S011-DM-G8PSSET-CEST-NOCUT-SUB075-MIX015-TAGF2ON-NMAX25-REGW100-RRPTTP26/model/doitall.sh; SHA256 a47ef47502d94229bc68ea963256e6243e2579fce4320a21a2eb55fc738ed471"
"doitall","doitall.sh","steps/22a-MIX020-MeanOverPeriod/model/doitall.sh","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","939e4923d45a1bbf24b396a434e37b69c39e24ac","steps/22a-MIX020-MeanOverPeriod/model/doitall.sh","11fc97e3d3798df7ca766229bcb7187cc6c78753d772afaf28e312eab5e2d15e","eee0a5e7768cd8cc37e913e5fe568b6a63ba5feab33a57d7d53ba17eea6b2a9a","public","locked","parent script retained exactly through Phase 9; only the one-common-tag-tau controls are introduced from Phase 10 onward"
"frq","bet.frq","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.frq","","f89e066","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.frq","5e2520afef613c563b27ee794c402e192dfdb114edc52c130323fa80ae876152","d77f97c348409f845f1f0fc801af808d15b6cb119349d1f083308cfc9d4fba8c","unverified","unlocked","generated from the authoritative FRQ by changing only positive effort for F29-F33"
"ini","bet.ini","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/blob/2b93ce1ef16630b6b6c980b57ad4ce3efbb6b63b/steps/21-MIX015-SC22IP10Cutoff/model/bet.ini","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","2b93ce1ef16630b6b6c980b57ad4ce3efbb6b63b","steps/21-MIX015-SC22IP10Cutoff/model/bet.ini","4bd5c08a2b79b722725a7940beee57bb4cf227dc62440afccca486aea9d42e8a","5292938d4743c1dfdd2f1a095c1aa87482c9c17f78b8d879671fe6851d58646f","public","locked","Exact Step 21 runtime INI with only tag_flags(:,1) replaced by the K=0.2 mean-over-period values; all other lines retained"
"ini_reporting_rates","bet.ini","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/blob/2b93ce1ef16630b6b6c980b57ad4ce3efbb6b63b/steps/21-MIX015-SC22IP10Cutoff/model/bet.ini","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","2b93ce1ef16630b6b6c980b57ad4ce3efbb6b63b","steps/21-MIX015-SC22IP10Cutoff/model/bet.ini","4bd5c08a2b79b722725a7940beee57bb4cf227dc62440afccca486aea9d42e8a","5292938d4743c1dfdd2f1a095c1aa87482c9c17f78b8d879671fe6851d58646f","public","locked","Step 21 RRPTTP26 reporting-rate matrices retained byte-for-byte"
"ini_tag_mixing","bet.ini","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-build-ini/blob/d48e39617217c7156c5859a9b6c1b78a840306fa/BET/ini.mix-period/bet.2026.mix-0.2.ini","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-build-ini","d48e39617217c7156c5859a9b6c1b78a840306fa","BET/ini.mix-period/bet.2026.mix-0.2.ini","2244656d1ab38cc42b1a58204f36326bed4c07925af661162a4f314eec60a223","5292938d4743c1dfdd2f1a095c1aa87482c9c17f78b8d879671fe6851d58646f","public","locked","Only tag_flags(:,1) copied from the main-branch K=0.2 mean-over-period source; tag_flags(:,2:10) and every other INI line retained from Step 21"
"reg_scaling","bet.reg_scaling","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/blob/26c74dc6f303faa951b1ab331d7de14ea20b7489/steps/15-DataWeighting/model/bet.reg_scaling.full","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","26c74dc6f303faa951b1ab331d7de14ea20b7489","steps/15-DataWeighting/model/bet.reg_scaling.full","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","5f047ddb4053d1f6df9ace18e85e440b11553de246d024ce8138b427f5f9f7e3","public","locked","active periods 53-72"
"reg_scaling_full","bet.reg_scaling.full","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/blob/26c74dc6f303faa951b1ab331d7de14ea20b7489/steps/15-DataWeighting/model/bet.reg_scaling.full","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","26c74dc6f303faa951b1ab331d7de14ea20b7489","steps/15-DataWeighting/model/bet.reg_scaling.full","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","public","locked","complete source matrix retained as a calculation/audit artifact"
"rrpttp26_reporting_audit","bet.ini","config/rrpttp26-reporting-rates.csv","","2c9595d","config/rrpttp26-reporting-rates.csv","6d926d0bef79f54a8fc0a573480959b7f91e9f90be1e912068662edfac388db2","5292938d4743c1dfdd2f1a095c1aa87482c9c17f78b8d879671fe6851d58646f","unverified","unlocked","complete audited 33-fishery RRPTTP26 matrix specification retained from Job 15062"
"tag","bet.tag","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-tag-prep/blob/44f804341a8e1d9b46e8e6c147dee884c476c28d/BET/bet.2026.low.recaps.removed.tag","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-tag-prep","44f804341a8e1d9b46e8e6c147dee884c476c28d","BET/bet.2026.low.recaps.removed.tag","b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f","b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f","public","locked","exact selected tag input; never replaced by an earlier step"
