"role","file","source","source_repository","source_commit","source_path","source_sha256","sha256","source_access","provenance_status","note"
"age_length","bet.age_length","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-age-length-build/blob/96a06d21ef3c666f39ce456d3a6818b6c17324c4/BET/bet.2026.sub.basin.0.75.age_length","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-age-length-build","96a06d21ef3c666f39ce456d3a6818b6c17324c4","BET/bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","public","locked","exact source variant retained"
"cpue_mle_sigma","cpue_mle_sigma_audit.csv","config/job13328-cpue-sigma.csv","","764cf66","config/job13328-cpue-sigma.csv","0d615db579682c5688e439d0b34a702634584f13bb38c78d238e366755049233","cd2d9a9b61f6efda432318be34c856029b355f0ea35f33681dc1dc37820cbc86","unverified","unlocked","Job13328 submitted S011 CPUE observation-error scales; PacificCommunity/ofp-sam-bet-2026-exploration@c940601bb95797a5cc5b4a2dbc01cfd6daa86a70/sensitivity/S011-DM-G8PSSET-CEST-NOCUT-SUB075-MIX015-TAGF2ON-NMAX25-REGW100-RRPTTP26/model/doitall.sh; SHA256 a47ef47502d94229bc68ea963256e6243e2579fce4320a21a2eb55fc738ed471"
"doitall","doitall.sh","steps/06-NewStructure/model/doitall.sh","","764cf66","steps/06-NewStructure/model/doitall.sh","b525d04f227c7e61f45dc99e3246c1e7ca2f122f51ac5ba4590c5c21cf3451ca","7a5496dc818c3edbd033d7927fe229b718a06431be8a7a8dc01462e2deb935a8","unverified","unlocked","generated from the five-region template with only declared cumulative controls"
"frq","bet.frq","external-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.frq","","f89e066","external-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.frq","5e2520afef613c563b27ee794c402e192dfdb114edc52c130323fa80ae876152","d77f97c348409f845f1f0fc801af808d15b6cb119349d1f083308cfc9d4fba8c","unverified","unlocked","generated from the authoritative FRQ by changing only positive effort for F29-F33"
"ini","bet.ini","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-build-ini/blob/5b2fb6053e34a58ef61275a68d8a67ec988833c1/BET/bet.2026.ini","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-build-ini","5b2fb6053e34a58ef61275a68d8a67ec988833c1","BET/bet.2026.ini","4a31dabf154cec6b1a8511ff2a9a4db857d68099e07e842ae3c45b026f472602","4bd5c08a2b79b722725a7940beee57bb4cf227dc62440afccca486aea9d42e8a","public","locked","Fixed Lorenzen natural-mortality intercept applied from the 01-Diag2023 mgc=-5 diagnostic final par; normalized MFCL 1007 tag-control rows for 98 release groups; RRPTTP26 rebuilt the complete RTTP/PTTP/JPTP group, active, initial, target, and penalty matrices from the audited 33-fishery table; copied only tag_flags(:,1) from bet.2026.mix-0.15.ini; set only tag_flags(:,2) to 1"
"ini_reporting_rates","bet.ini","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-build-ini/blob/5b2fb6053e34a58ef61275a68d8a67ec988833c1/BET/bet.2026.ini","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-build-ini","5b2fb6053e34a58ef61275a68d8a67ec988833c1","BET/bet.2026.ini","4a31dabf154cec6b1a8511ff2a9a4db857d68099e07e842ae3c45b026f472602","4bd5c08a2b79b722725a7940beee57bb4cf227dc62440afccca486aea9d42e8a","public","locked","rrpttp26 reporting-rate matrices only"
"ini_tag_mixing","bet.ini","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-build-ini/blob/5b2fb6053e34a58ef61275a68d8a67ec988833c1/BET/ini.mix-period/bet.2026.mix-0.15.ini","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-build-ini","5b2fb6053e34a58ef61275a68d8a67ec988833c1","BET/ini.mix-period/bet.2026.mix-0.15.ini","1a63de80bd1453e15bc080c7fc8b0098e5f04528f54cb31440efbbf1bca123a4","4bd5c08a2b79b722725a7940beee57bb4cf227dc62440afccca486aea9d42e8a","public","locked","only tag_flags(:,1) copied; tag_flags(:,2) and all other INI fields retained"
"reg_scaling","bet.reg_scaling","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/blob/26c74dc6f303faa951b1ab331d7de14ea20b7489/steps/15-DataWeighting/model/bet.reg_scaling.full","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","26c74dc6f303faa951b1ab331d7de14ea20b7489","steps/15-DataWeighting/model/bet.reg_scaling.full","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","6330fb6a36d63424c18f81cbc620c1d9607c2a5c43d0308d19941f12938ec9a1","public","locked","active periods 53-72; current-MFCL calendar header 1965 2 1969 11"
"reg_scaling_full","bet.reg_scaling.full","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise/blob/26c74dc6f303faa951b1ab331d7de14ea20b7489/steps/15-DataWeighting/model/bet.reg_scaling.full","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","26c74dc6f303faa951b1ab331d7de14ea20b7489","steps/15-DataWeighting/model/bet.reg_scaling.full","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","public","locked","complete source matrix retained as a calculation/audit artifact"
"rrpttp26_reporting_audit","bet.ini","config/rrpttp26-reporting-rates.csv","","764cf66","config/rrpttp26-reporting-rates.csv","6d926d0bef79f54a8fc0a573480959b7f91e9f90be1e912068662edfac388db2","4bd5c08a2b79b722725a7940beee57bb4cf227dc62440afccca486aea9d42e8a","unverified","unlocked","complete audited 33-fishery RRPTTP26 matrix specification"
"tag","bet.tag","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-tag-prep/blob/44f804341a8e1d9b46e8e6c147dee884c476c28d/BET/bet.2026.low.recaps.removed.tag","https://github.com/PacificCommunity/ofp-sam-2026-BET-YFT-tag-prep","44f804341a8e1d9b46e8e6c147dee884c476c28d","BET/bet.2026.low.recaps.removed.tag","b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f","b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f","public","locked","exact selected tag input; never replaced by an earlier step"
